#;name;idequip;equipname;street;house;#;;
1;1547_Родионова 17/1;390;ТСРВ-026М;ул. Родионова;17/1;1;;
2;1546_Касьянова 4 (Персона);212;ТСРВ-026М;ул. Касьянова;4;2;;
3;1542_Родионова 17/2;389;ТСРВ-026М;ул. Родионова;17/2;3;;
4;1496_Касьянова 8А (Персона);344;ТСРВ-026М;ул. Касьянова;8А;4;;
5;1497_Касьянова 8 (Персона);345;ТСРВ-026М;ул. Касьянова;8;5;;
6;1498_Касьянова 6 (Персона);346;ТСРВ-026М;ул. Касьянова;6;6;;
7;1499_Верхнепечерская 1 (Персона);347;ТСРВ-026М;ул. Верхнепечерская;1;7;;
8;1500_Бринского 2/3 (Персона);348;ТСРВ-026М;ул. Бринского;2/3;8;;
9;1501_Бринского 1/2 (Персона);349;ТСРВ-026М;ул. Бринского;1/2;9;;
10;1502_Касьянова 10 (Персона);350;ТСРВ-026М;ул. Касьянова;10;10;;
11;1503_Богдановича 1/1 (Персона);351;ТСРВ-026М;ул. Богдановича;1/1;11;;
12;1504_Богдановича 1/2 (Персона);352;ТСРВ-026М;ул. Богдановича;1/2;12;;
13;1505_Богдановича 7;353;ТСРВ-026М;ул. Богдановича;7;13;;
14;1506_Богдановича 7/1 (Персона);354;ТСРВ-026М;ул. Богдановича;7/1;14;;
15;1507_Богдановича 7/2 (Персона);355;ТСРВ-026М;ул. Богдановича;7/2;15;;
16;1508_Верхнепечерская 7/3 (Персона);356;ТСРВ-026М;ул. Верхнепечерская;7/3;16;;
17;1509_Верхнепечерская 9/1 (Персона);357;ТСРВ-026М;ул. Верхнепечерская;9/1;17;;
18;1510_Верхнепечерская 8 (Персона);358;ТСРВ-026М;ул. Верхнепечерская;8;18;;
19;1511_Верхнепечерская 8/1 (Персона);359;ТСРВ-026М;ул. Верхнепечерская;8/1;19;;
20;1512_Верхнепечерская 12/1 (Персона);360;ТСРВ-026М;ул. Верхнепечерская;12/1;20;;
21;1513_Лопатина 6 (Персона);361;ТСРВ-026М;ул. Лопатина;6;21;;
22;1514_Лопатина 11А (Персона);362;ТСРВ-026М;ул. Лопатина;11А;22;;
23;1515_Лопатина 9А;363;ТСРВ-026М;ул. Лопатина;9А;23;;
24;1516_Лопатина 10 (Персона);364;ТСРВ-026М;ул. Лопатина;10;24;;
25;1517_Лопатина 10/1 (Персона);365;ТСРВ-026М;ул. Лопатина;10/1;25;;
26;1518_Лопатина 2 (Персона);366;ТСРВ-026М;ул. Лопатина;2;26;;
27;1519_Лопатина 2/1 (Персона);367;ТСРВ-026М;ул. Лопатина;2/1;27;;
28;1520_Усилова 2/3 (Персона);368;ТСРВ-026М;ул. Усилова;2/3;28;;
29;1521_Усилова 2/4 (Персона);369;ТСРВ-026М;ул. Усилова;2/4;29;;
30;1522_Фруктовая 3/2 (Персона);370;ТСРВ-026М;ул. Фруктовая;3/2;30;;
31;1523_Фруктовая 5/2 (Персона);371;ТСРВ-026М;ул. Фруктовая;5/2;31;;
32;1524_Фруктовая 5/3 (Персона);372;ТСРВ-026М;ул. Фруктовая;5/3;32;;
33;1525_Фруктовая 9/1 (Персона);373;ТСРВ-026М;ул. Фруктовая;9/1;33;;
34;1526_Фруктовая 9/2 (Персона);374;ТСРВ-026М;ул. Фруктовая;9/2;34;;
35;1527_Казанское шоссе 3А (Персона);375;ТСРВ-026М;Казанское шоссе;3А;35;;
36;1528_Казанское шоссе 19 (Персона);376;ТСРВ-026М;Казанское шоссе;19;36;;
37;1529_Казанское шоссе 17/2 (Персона);377;ТСРВ-026М;Казанское шоссе;17/2;37;;
38;1530_Казанское шоссе 21/1 (3,4,5) (Персона);378;ТСРВ-026М;Казанское шоссе;21/1;38;;
39;1531_Казанское шоссе 21/1 (1,2) (Персона);379;ТСРВ-026М;Казанское шоссе;21/1;39;;
40;1532_Казанское шоссе 7 (Персона);380;ТСРВ-026М;Казанское шоссе;7;40;;
41;1533_Усилова 3 (Персона);381;ТСРВ-026М;ул. Усилова;3;41;;
42;1534_Усилова 3/2 (Персона);382;ТСРВ-026М;ул. Усилова;3/2;42;;
43;1535_Усилова 9 (Персона);383;ТСРВ-026М;ул. Усилова;9;43;;
44;1536_Усилова 8 (Персона);384;ТСРВ-026М;ул. Усилова;8;44;;
45;1537_Усилова 7 (Персона);385;ТСРВ-026М;ул. Усилова;7;45;;
46;1538_Родионова 182 (Персона);386;ТСРВ-026М;ул. Родионова;182;46;;
47;1539_Лопатина 5 (Персона);387;ТСРВ-026М;ул. Лопатина;5;47;;
48;1540_Лопатина 5А (Персона);388;ТСРВ-026М;ул. Лопатина;5А;48;;
49;1545_Казанское шоссе 19/1 (Персона);391;ТСРВ-026М;Казанское шоссе;19/1;49;;
50;1548_Усилова 1/4 (Персона);392;ТСРВ-026М;ул. Усилова;1/4;50;;
